Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Profit_Label
2014-05-26,26,May,2014,37.0,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,28,2,5,53,56,109,Less than 100
2016-03-28,28,Mar,2016,32.0,Young Adults (25-34),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",21,13,35,455,273,728,More or equal to 100
2015-11-22,22,Nov,2015,30.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,12,8,20,Less than 100
2013-08-22,22,August,2013,17.0,Youth (<25),F,United States,California,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,1335,2171,3506,More or equal to 100
2015-07-11,11,July,2015,29.0,Young Adults (25-34),M,Germany,Saarland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,38,36,74,Less than 100
2015-09-21,21,September,2015,31.0,Young Adults (25-34),F,Canada,British Columbia,Clothing,Vests,"Classic Vest, L",16,24,64,630,384,1014,More or equal to 100
2011-03-15,15,Mar,2011,28.0,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",3,1266,2320,2048,3798,5846,More or equal to 100
2013-10-20,20,October,2013,44.0,Adults (35-64),F,USA,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,27,1,2,26,27,53,Less than 100
2011-05-04,4,May,2011,36.0,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",4,487,783,1121,1948,3069,More or equal to 100
2013-08-08,8,August,2013,33.0,Young Adults (25-34),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,8,1,4,23,8,31,Less than 100
2016-04-05,5,April,2016,21.0,Youth (<25),M,USA,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,13,1,2,7,13,20,Less than 100
2016-05-26,26,May,2016,38.0,Adults (35-64),F,Australia,Victoria,Bikes,Touring Bikes,"Touring-1000 Yellow, 50",2,1482,2384,803,2964,3767,More or equal to 100
2013-11-24,24,Nov,2013,39.0,Adults (35-64),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,20,4,10,118,80,198,More or equal to 100
2016-04-08,8,April,2016,42.0,Adults (35-64),F,United States,Oregon,Accessories,Tires and Tubes,Mountain Tire Tube,28,2,5,64,56,120,Less than 100
2015-12-17,17,Dec,2015,36.0,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,550,1083,1633,More or equal to 100
2015-10-08,8,October,2015,27.0,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,2,2,5,6,4,10,Less than 100
2014-04-25,25,April,2014,28.0,Young Adults (25-34),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Blue",23,13,35,329,299,628,More or equal to 100
2014-01-03,3,January,2014,44.0,Adults (35-64),F,Germany,Bayern,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,77,52,129,Less than 100
2015-10-10,10,October,2015,38.0,Adults (35-64),M,United States,Washington,Accessories,Fenders,Fender Set - Mountain,17,8,22,156,136,292,More or equal to 100
2014-03-23,23,Mar,2014,40.0,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,997,1252,2249,More or equal to 100
2013-07-15,15,July,2013,28.0,Young Adults (25-34),M,Australia,Victoria,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",4,38,50,6,152,158,Less than 100
2016-07-03,3,July,2016,1.0,Youth (<25),M,Canada,British Columbia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,28,21,55,937,588,1525,More or equal to 100
2015-08-28,28,August,2015,25.0,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,Road Tire Tube,3,1,4,7,3,10,Less than 100
2015-12-30,30,Dec,2015,32.0,Young Adults (25-34),F,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",27,42,54,18,1134,1152,Less than 100
2013-10-16,16,October,2013,51.0,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,2,1,2,1,2,3,Less than 100
2015-12-05,5,Dec,2015,50.0,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-650 Black, 48",1,487,783,194,487,681,More or equal to 100
2014-04-09,9,April,2014,30.0,Young Adults (25-34),M,Germany,Hessen,Bikes,Touring Bikes,"Touring-3000 Yellow, 62",1,461,742,229,461,690,More or equal to 100
2016-04-16,16,April,2016,29.0,Young Adults (25-34),M,UK,England,Bikes,Road Bikes,"Road-650 Red, 44",1,487,783,265,487,752,More or equal to 100
2015-08-15,15,August,2015,42.0,Adults (35-64),F,France,Seine (Paris),Clothing,Socks,"Racing Socks, M",11,3,9,48,33,81,Less than 100
2015-12-31,31,Dec,2015,19.0,Youth (<25),F,United States,Washington,Accessories,Tires and Tubes,Road Tire Tube,28,1,4,59,28,87,Less than 100
2013-07-26,26,July,2013,25.0,Young Adults (25-34),M,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",9,42,54,45,378,423,Less than 100
